Model,Seed,Feature_Set,Features,N_Total,N_Train,N_Test,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
KNN,42,All_with_pH,"pH, Fe, Mn, Al, SO4",273,218,55,0.7716446199920173,0.16338242252875498,0.9446158895505876,45.45105088384775,26.775069953991878
BayesianRidge,42,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.7951453454954155,0.14418944008810844,0.9259778716739251,52.54508764266693,33.55572329883314
ElasticNet,42,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.7950687930628998,0.1437727261559488,0.9259239047835897,52.5642385262198,33.56364668360073
Ridge,42,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.7952856817875583,0.1436189194654473,0.925886048194769,52.57766828779627,33.572341930582255
LinearRegression,42,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.7935031323797442,0.14487736146995497,0.9254566789895461,52.72974916342629,33.647588598207086
ExtraTrees,42,All_with_pH,"pH, Fe, Mn, Al, SO4",273,218,55,0.7839771242065733,0.17805272510228007,0.8071348986918366,84.81607318274514,35.30711163636357
RandomForest,42,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",273,218,55,0.7763852034033325,0.14412472740551077,0.7898026870896382,88.54517827464815,37.94169090909093
HistGradientBoosting,42,All_with_pH,"pH, Fe, Mn, Al, SO4",273,218,55,0.6234050176597021,0.12077746953446589,0.7672167022025426,93.18097384112781,51.02912402984898
GradientBoosting,42,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",273,218,55,0.6027110218410592,0.3590379510853531,0.6648986074805652,111.79939490824337,45.10414944568731
SVR_RBF,42,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.126309695721563,0.07692205466022267,0.31201734419521865,160.1917263134441,65.31811679317985
