pH,Fe,Mn,Al,SO4,SHAP_pH,SHAP_Fe,SHAP_Mn,SHAP_Al,SHAP_SO4
3.48,723.08,829.65,8969.0,398020.8,12.660927720002165,-1.3015217751824444,-58.101312474983466,18.116449388234322,-5.717965427206887
3.55,114.45,828.78,8693.0,410635.9,12.364994709539369,-1.3975913849522743,-58.15775135055784,16.399361892261314,-5.78468541244967
3.36,912.87,847.33,8287.27,415519.95,12.603620810823374,-1.6987198969496902,-57.566689583452956,12.794523713986843,-5.806257235588406
3.6,1108.68,808.59,7914.37,400054.3,11.645707289495796,-1.6395918945314996,-58.056972633823186,11.685842061797576,-5.917916409125327
7.24,206.17,220.23,982.15,403564.8,-10.701179802154908,-1.2763417246137803,-46.06154763613296,-33.93881952513287,-4.8497851431294725
7.45,111.47,70.52,286.68,410419.4,-11.980989160298918,-1.8760314509099276,-44.22698654049017,-46.33299983445962,-3.8346949776688164
7.15,7.18,421.27,585.2,411577.5,-10.793150561470478,-1.8033390789172015,-46.23420908164537,-40.30592742649758,-4.604488175416761
7.28,5.169600000000001,195.13,2986.0,407350.1,-16.823026548367597,-1.8481059260162114,-51.24035448377883,-26.931780331112638,-4.708886522789212
2.97,7989.12,9555.61,18327.97,751070.49,24.4990627927316,5.211566027030273,-1.757962178028126,118.64255916501367,-2.239758941179222
3.55,2979.16,14457.17,9412.69,463200.47,16.160706258957273,0.615226479991374,37.11279346006909,31.137795510907743,-4.821442336606096
6.89,166.03,1058.46,722.24,458537.38,-9.055018426578663,-1.4043443736082548,-43.5397738462258,-36.78281283213264,-3.534437763936326
5.95,1837.79,1603.88,52.35,175537.3,-3.5805939981895163,-1.5461576897633207,-41.91457562359796,-52.57768484715647,-4.6711774152717975
5.86,9896.94,2066.9,237.81,184907.5,-2.2959619419408486,-1.6318142216461984,-40.571971283726995,-47.639406350687466,-4.671304659439534
3.99,1759.42,1017.5,4975.62,111000.0,9.291479432302575,-1.6282096579677257,-53.27671489090074,-14.873386357649135,-8.050158452934966
4.93,922.71,520.61,410.12,42300.0,3.0118937547693325,-2.270528127232498,-46.54610333994062,-48.32320389603435,-6.615613823112857
6.5,670.44,1220.25,14.72,176204.0,-7.331946412285985,-1.4786535382677057,-42.28466037887404,-53.87021507539812,-4.492781512401116
6.15,92.07,3345.18,334.52,643556.76,-4.291024610840184,-2.04684870619415,-37.39097003223225,-48.72885094180943,-1.914153370261795
9.28,76.27,30.51,373.74,2159060.71,-15.31963109817624,-2.0079389334563205,-44.89424365582839,-54.959142334585614,8.772492626384137
6.43,774.11,764.44,390.28,394044.82,-7.3817794425674785,-2.0774999795493887,-44.62948141715362,-46.154568729592526,-4.136085250115769
6.27,2992.52,898.1,5.15,168008.4,-6.4816781314995024,-1.5893341125991167,-42.751526917917545,-54.63950858538879,-4.597400077933249
5.97,5306.27,1013.11,3.17,169946.0,-4.767258445589807,-1.6773148097637496,-42.93054283144602,-55.55586848439839,-4.7019280877224885
6.64,9210.76,1406.81,3.26,289125.1,-8.453048344268584,-1.622474274779999,-42.04607143373153,-54.3284346909555,-4.02513704673
7.22,152.14,1691.88,12.8,186412.4,-9.93669902944044,-1.497342051288293,-41.45547483542684,-53.434301925893315,-4.274125188063278
3.6,910.24,841.25,766.73,59200.0,7.676388764591374,-2.266975142756826,-49.081917004877084,-46.75642624102047,-7.514281029147993
5.81,9848.91,1544.81,142.06,69300.0,-3.61373610865422,-1.7696840378280025,-42.50107234184071,-51.09609252936755,-5.643422474092033
6.67,5513.05,2075.05,6.47,190548.0,-8.511867282104399,-1.6167406062588312,-41.02266800658873,-55.02417626989748,-4.307967959337678
3.99,5059.92,4323.34,773.25,208116.0,6.377513910113087,-2.261295383846161,-39.29217744979141,-48.48756404273072,-6.1947261281693935
3.28,35841.27,1279.07,18685.02,397073.66,15.927645663447686,-7.545520455973851,-79.72860486056872,72.41055516612268,-14.527510348267898
3.01,517469.93439999945,22004.97,95455.33,3249541.16,18.006415179750363,13.17673165565607,85.89849862112929,552.344150793219,31.597309442552564
2.86,128898.77,43143.18,32300.52,2077400.0,54.497271555596775,70.8581645300202,572.7237225837193,209.80458580114046,56.49633741230057
2.94,61841.04,37225.88,25827.73,1717600.0,45.613844561788305,14.889019851850737,489.8437568595889,183.28159731812406,53.09811591048056
3.35,5557.6,40349.72,3951.23,1996605.89,2.437231415428503,-37.213665521875186,418.3060103455238,-70.9949959184482,14.029956679947976
4.13,64421.88,67816.48,40056.23,1758500.0,-15.83302883977467,0.1295224511858777,693.4707428126279,158.6581094773926,30.55501724325134
3.27,743.76,760.67,19743.52,608000.0,21.59681984841457,6.164885546152247,-74.83598795638105,103.25842192374934,-3.4473723161406196
3.91,38.35,16066.67,7362.29,701100.0,15.389400868286284,-0.49661069029789023,36.93422836494835,15.781469061066385,-2.2304783186976613
7.24,228.3,60.12,53.27,1868013.97,-11.736035199762304,-1.5820610243916584,-43.266271029569644,-58.87403141836308,8.715221525372552
6.62,38.07,58.63,57.11,559500.0,-7.876803421219371,-1.3640109225239923,-42.7555690373283,-51.95534659383871,-2.40987840623362
2.73,13993.41,3804.04,17186.09,364478.7,16.449153484650132,2.5360655891975608,-56.72386734300165,76.73547723160334,-9.37767403112271
6.98,43.48,283.9,17.39,712900.0,-9.89609055111749,-1.384182343697598,-42.666260653356325,-54.549172226310226,-1.7023916454355468
7.93,40.0,110.0,0.0,1057000.0,-11.59883149376717,-1.3901303398368012,-42.85116099342703,-57.27539554793076,1.9255934856644477
6.84,4084.88,3140.25,7.66,354256.26,-9.311146811860949,-1.559090455827484,-38.69434357739047,-56.847468970732535,-3.722381196266489
6.28,32431.79,75615.63079999984,604.32,2328600.0,-115.8060769417745,-25.5225508657033,672.4238315697079,-176.30088178524812,-22.62883661801355
2.3872,261000.0,74000.0,19000.0,1600000.0,80.14099897890586,60.65779752813874,995.8769117939762,77.82876295310928,31.716564771508747
3.3,55000.0,69000.0,99711.99999999999,1900000.0,55.477848111700546,8.491056072604227,836.7191341556991,558.7810948973586,8.370374216845683
4.57,1300.0,2000.0,1900.0,580000.0,12.538772576131425,0.10726778795806893,-41.00177432893517,-18.41021647704209,5.219484390191199
4.44,630.0,2900.0,13000.0,160000.0,14.692335350559398,1.8322806038460775,-49.72864458803137,59.77696629147975,-8.354569153533303
3.37,1600.0,5000.0,15000.0,360000.0,17.691312702221243,3.7453610046297436,-42.956430961529655,75.70947940347628,-7.703091917323687
3.2,14000.0,2400.0,22000.0,540000.0,23.87630839678911,3.9658822233073283,-70.63241546757531,122.57935660251074,-7.148153764696084
7.18,850.0,9200.0,590.0,1400000.0,-9.63966796000152,-1.0111160971166377,-12.688390493552598,-47.80582612968894,8.461747007677031
4.2,920.0,3100.0,7300.0,280000.0,12.969959484074433,-1.1170934724168704,-43.39957842822707,17.37798242148616,-5.229302705669673
3.31,25000.0,7400.0,7800.0,470000.0,13.289726571505208,-1.9702801480721976,-28.6114174270592,14.970382443675408,-4.0517133863317145
6.36,340.0,1500.0,1500.0,540000.0,-5.220053190090044,-0.021422487312305463,-41.570605039901984,-18.3977053080929,0.7458685468215777
3.21,33000.0,1900.0,21000.0,760000.0,21.676371962282484,-4.6483669897729625,-75.85859787998068,107.30928097679435,-3.5384719881322293
3.09,74000.0,4500.0,7900.0,790000.0,14.845572971414063,0.1493646154074318,-44.09020497491745,16.72715496257835,0.12957361079624743
3.6,15000.0,1700.0,6200.0,170000.0,12.765396528304247,-1.4282584656323938,-51.876135255600374,7.550290691903328,-6.060632792117344
3.26,37000.0,1100.0,2200.0,340000.0,13.307410944922824,-1.2638028706754247,-49.00161941058582,-25.13269665321261,-4.789090243191342
7.1,440.0,1500.0,750.0,450000.0,-9.167499426903543,-1.3171186765570804,-41.93837638370642,-35.10010990717485,-3.4181635461200757
4.08,65000.0,1600.0,270.0,600000.0,11.299666379142835,1.0292940658521408,-45.14139419074067,-50.03385733033804,-1.1632569638167607
3.2,82000.0,2400.0,9500.0,690000.0,14.182474182730822,-0.3065599494402557,-55.87288977353681,19.671577884872615,-2.0478955273612227
6.06,71000.0,2300.0,380.0,680000.0,-2.5909780612316724,1.4954377602130648,-40.709069056213785,-43.50135667396639,-1.6943408473752812
2.88,76000.0,9600.0,14000.0,1100000.0,20.314284541690274,-4.581027468197031,-18.531317966415802,62.85634341553603,5.46354092389981
3.78,29000.0,3300.0,2700.0,540000.0,12.527106967363212,-2.0423135993682022,-42.925390417172586,-22.810163787664656,0.5471975067494282
3.2,63000.0,10000.0,8100.0,760000.0,13.101190265547823,-1.9417021980170015,-17.3146402909419,12.626665811513899,-1.9323000827244015
3.71,600.0,1600.0,6800.0,120000.0,11.703712502163457,-1.48527962498887,-53.65990721766043,11.058302758823967,-7.020991834495803
3.09,53000.0,2300.0,9000.0,490000.0,13.913994261101019,-1.4013133434581178,-55.37305094988554,17.661607440730837,-4.644841205884281
