Seed,Model,Feature_Set,Features,N_Train,N_Test,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
40,LinearRegression,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.7492297601169016,0.18586447798388178,0.9103022625734367,77.77702755059761,46.13530592592407
40,Ridge,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.7510645853558723,0.18419172723573318,0.9115437796547889,77.23689145896523,45.950251499637574
40,ElasticNet,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.7508722847921345,0.18436765849631867,0.9116611473513339,77.18563375769187,45.932161920693844
40,BayesianRidge,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.7512381230411145,0.18436351776816917,0.912162304906368,76.96638039000767,45.86394819026151
40,SVR_RBF,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.15446301589110248,0.15303573084848254,0.09667989696143198,246.82061776264098,68.44874103233298
40,KNN,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.7584514828128925,0.11243312433343698,0.9568309679305199,53.95687052056716,27.54483244853855
40,GradientBoosting,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.3497848380414185,0.5916932858740358,0.9756880981876763,40.49207791246077,23.22907691243282
40,HistGradientBoosting,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.6578138777277964,0.08747220066041664,0.4917042187523861,185.14792529225497,84.31729312917611
40,RandomForest,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.6041309310276333,0.2505155347191428,0.9707378890888545,44.423566582734495,25.05350472727269
40,ExtraTrees,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.7253401281892693,0.15500533953113704,0.9642345178348832,49.11256757842065,26.413633818181683
40,LinearRegression,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.761847417678329,0.16591548072099796,0.9108578700043592,77.53576939723804,45.798912519192356
40,Ridge,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.7633424087368279,0.16445172792886067,0.9121138761621871,76.98759492390812,45.639825639413324
40,ElasticNet,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.7631691347021181,0.16462858509978257,0.9122368841018587,76.9336990357409,45.62372191944724
40,BayesianRidge,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.7631653545271868,0.16474570783658252,0.9124195449927798,76.85359649223291,45.60045854038627
40,SVR_RBF,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.16165664071108982,0.15030571781728255,0.10053505285310593,246.2933686978378,68.76305082335406
40,KNN,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.7331447958323336,0.14932103535645946,0.9540196447552395,55.68609429030716,27.795574053668858
40,GradientBoosting,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.6026887601586643,0.449459231703871,0.9753091104808049,40.806464174495,24.433767353787267
40,HistGradientBoosting,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.6794524436386237,0.07804728352117069,0.49693647818441766,184.1925289260548,83.32502002652777
40,RandomForest,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.6514803381191687,0.28715986053869885,0.9703485047040508,44.71815705629185,25.515838909090895
40,ExtraTrees,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.7303030992358135,0.22658605265099016,0.9595432808052963,52.234317895036305,27.089104363636185
40,LinearRegression,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.6667746364619738,0.20823000704935324,0.7813785353259595,121.42468823058165,61.62071050634192
40,Ridge,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.6669460348483474,0.2067547161297131,0.7823331900143595,121.15928549287618,61.709243727866344
40,ElasticNet,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.6669373013949537,0.20694807269346882,0.7824192864385285,121.13532131351046,61.713933340926516
40,BayesianRidge,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.6657924750976387,0.20603592555823655,0.7833836009982343,120.86658823598569,61.807409634810824
40,SVR_RBF,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.13739327340447754,0.13424130362828504,0.07916632597708284,249.20181070793885,68.11130952563859
40,KNN,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.627344046918409,0.15556907065164016,0.7831101050186637,120.94286615985679,55.63920993975606
40,GradientBoosting,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.5808542615941661,0.2964021021479275,0.609347613724661,162.3139467671378,60.64362999973627
40,HistGradientBoosting,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.5798322978284953,0.069594406427236,0.5737009617444848,169.5578002763668,78.40454847457626
40,RandomForest,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.6459999706678722,0.2337361936564823,0.7433314292018314,131.56699135042228,49.49282836363629
