Model,Feature_Set,Features,Seeds,CV_R2_Mean_Median,CV_R2_Mean_Mean,CV_R2_Mean_Std,Test_R2_Median,Test_R2_Mean,Test_R2_Std,Test_RMSE_Median,Test_RMSE_Mean,Test_RMSE_Std,Test_MAE_Median,Test_MAE_Mean,Test_MAE_Std,Test_R2_P2_5,Test_R2_P97_5
GradientBoosting,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",2,0.5055671979814647,0.5055671979814647,0.13735063042985768,0.929621364745779,0.929621364745779,0.06461222965272713,65.10189526522062,65.10189526522062,34.358928152205124,26.838537410560257,26.838537410560257,3.4008584286770827,0.8862180062975045,0.9730247231940536
BayesianRidge,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",2,0.753449839174491,0.753449839174491,0.013739813577226263,0.9293550458961797,0.9293550458961797,0.023950415063169948,68.8333154640856,68.8333154640856,11.342390204049563,40.09683640094159,40.09683640094159,7.783297071779495,0.9132663200379497,0.9454437717544096
ElasticNet,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",2,0.7533592386926038,0.7533592386926038,0.013873287982124971,0.9293452252630814,0.9293452252630814,0.02419484809990705,68.82718654101298,68.82718654101298,11.464339913591173,40.09936693892218,40.09936693892218,7.812617736821896,0.9130923011599198,0.945598149366243
Ridge,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",2,0.7536587767550151,0.7536587767550151,0.013694723681709469,0.9293146413045905,0.9293146413045905,0.024325555347581195,68.83659805747526,68.83659805747526,11.527250315369953,40.105224618146764,40.105224618146764,7.8271078265991445,0.9129739144193073,0.9456553681898736
LinearRegression,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",2,0.751230308807884,0.751230308807884,0.015014859357774983,0.9290286425525064,0.9290286425525064,0.02569735297638641,68.91603556358271,68.91603556358271,12.19014449160161,40.1492082789937,40.1492082789937,7.989888359885718,0.9117664086317666,0.9462908764732462
ExtraTrees,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",2,0.6878149856139466,0.6878149856139466,0.03504484661550327,0.9273246462421321,0.9273246462421321,0.05184797758072358,68.02482255292976,68.02482255292976,26.50575758360472,27.55976709090902,27.55976709090902,1.5873850416047302,0.8924956925309012,0.962153599953363
BayesianRidge,All_features,"pH, Fe, Mn, Al, SO4",2,0.7450833262648257,0.7450833262648257,0.008704197074677867,0.9265631826988403,0.9265631826988403,0.020365916684191906,70.36181311651895,70.36181311651895,9.340268611773244,41.66310213947455,41.66310213947455,5.9408934584643704,0.9128823487959916,0.940244016601689
ElasticNet,All_features,"pH, Fe, Mn, Al, SO4",2,0.7446185285202636,0.7446185285202636,0.008844146935455611,0.9263757692104009,0.9263757692104009,0.020809617798284188,70.43731311690127,70.43731311690127,9.54356657344839,41.711111413442836,41.711111413442836,5.969466874816215,0.9123968784442872,0.9403546599765146
Ridge,All_features,"pH, Fe, Mn, Al, SO4",2,0.7449391558222885,0.7449391558222885,0.008662665521754839,0.9263272281736004,0.9263272281736004,0.020906953393947547,70.45745864252208,70.45745864252208,9.587565834211114,41.72505086111919,41.72505086111919,5.975336046740154,0.9122829520807295,0.9403715042664712
LinearRegression,All_features,"pH, Fe, Mn, Al, SO4",2,0.7421140959907054,0.7421140959907054,0.010063068712558267,0.9258229599878107,0.9258229599878107,0.021949580780896632,70.6644827722586,70.6644827722586,10.058657288512958,41.85381523654202,41.85381523654202,6.054942200098225,0.9110782974441554,0.940567622531466
