Model,Outlier_Mode,Seeds,N_Train_Median,Test_R2_Median,Test_R2_Mean,Test_R2_Std,Test_RMSE_Median,Test_MAE_Median,Test_R2_P2_5,Test_R2_P97_5
ExtraTrees,winsorize_1_99,30,218.0,0.8363931087915841,0.7601570907942102,0.24428315270939896,86.69229089997069,35.48679309090899,0.1434516935877516,0.9485023574971355
RandomForest,winsorize_1_99,30,218.0,0.8357110321187753,0.7319244318944421,0.3528024502898921,91.02270556569468,36.946328727272686,-0.17504175110535627,0.9307615411220704
RandomForest,none,30,218.0,0.8286910513653273,0.7307500088798297,0.3307831689702386,96.7584196511284,38.12796563636362,-0.0943782479733615,0.9269509818109751
ExtraTrees,none,30,218.0,0.8194968137579318,0.7739634376426561,0.168079549625176,94.36554834546214,37.71553199999989,0.3912239954111856,0.9424023617969317
KNN,none,30,218.0,0.8054891547992357,0.7591582966120508,0.15625884795948397,112.83343240652064,41.83898040434891,0.43854142788583184,0.9229514607730215
KNN,winsorize_1_99,30,218.0,0.8010899850262447,0.7588277857937903,0.15202292643440507,105.21533185700945,39.787149489939,0.45681077918449514,0.9293420135897161
Ridge,winsorize_1_99,30,218.0,0.7961140699529836,0.7630454221232928,0.1720787720623151,92.17127853299374,49.00425278024211,0.38571352687739485,0.9417771038002951
Ridge,none,30,218.0,0.7932319880282087,0.7696333711020962,0.1474731593944713,94.40116104739835,44.8196245845514,0.4375292584498919,0.9376436514716768
MLP,winsorize_1_99,30,218.0,0.6973858298446332,0.6379205709928455,0.21856714174751082,146.33285115138654,57.99598523561417,0.12837101944628512,0.9011397985029646
MLP,none,30,218.0,0.6712961549202698,0.6234606948431546,0.25987043953750144,134.71969583408327,57.106071220802946,0.030881079016289174,0.9185994710674754
Ridge,iqr_remove,30,164.5,0.6283450626785358,0.6425311356129826,0.1588667208002246,124.70683190002029,47.516793348710195,0.3829453835442899,0.8924977438941599
MLP,iqr_remove,30,164.5,0.6221812972597394,0.6428559141429115,0.17528813212357106,123.4882824257633,51.392664201075675,0.3449506972167369,0.9080839772555118
ExtraTrees,iqr_remove,30,164.5,0.2586319583674549,0.3160997630114971,0.16602375679966366,207.39178192087604,65.7916209090912,0.09221679844899994,0.6491937975251327
RandomForest,iqr_remove,30,164.5,0.24031211647219253,0.29400237411782737,0.15995278400182658,210.06676268048187,69.19662418181832,0.0877951894753194,0.6114074764559487
KNN,iqr_remove,30,164.5,0.12806915170383848,0.14533710876313108,0.11749901047195659,220.9552191674115,80.95738191410337,0.01626242325100903,0.4196134859191614
