Model,Feature_Set,Features,Seeds,CV_R2_Mean_Median,CV_R2_Mean_Mean,CV_R2_Mean_Std,Test_R2_Median,Test_R2_Mean,Test_R2_Std,Test_RMSE_Median,Test_RMSE_Mean,Test_RMSE_Std,Test_MAE_Median,Test_MAE_Mean,Test_MAE_Std,Test_R2_P2_5,Test_R2_P97_5
RandomForest,All_features,"pH, Fe, Mn, Al, SO4",30,0.714663042023631,0.6013741761637695,0.3608291232320641,0.8286910513653274,0.7307500088798297,0.3307831689702386,96.7584196511284,113.57670121104705,57.239770320989436,38.12796563636361,41.7244512121212,16.02301647029701,-0.0943782479733615,0.9269509818109752
RandomForest,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",30,0.7206429372503074,0.5982939844906366,0.37823252355736803,0.8260970810172963,0.7267421186609719,0.33278784036897185,94.7937275956132,113.81368333928275,58.51251095496979,38.75451618181814,42.01555793939392,16.18690437765081,-0.11014117114114146,0.9366120940840893
ElasticNet,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",30,0.807693798516558,0.734182645022391,0.21004008463949778,0.822612528325817,0.7796705004456441,0.14362577293000456,89.8280360168188,108.80010485622003,53.699558833054276,45.75018237791642,47.33063790755796,14.533095577878388,0.47732449758925594,0.9372774540497297
Ridge,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",30,0.8077615507662781,0.7344524257998303,0.20964659552957524,0.8225960850735822,0.7796280758902783,0.14369989948906392,89.8195087395754,108.80879229094559,53.70789297085503,45.76707621656929,47.33783837651763,14.540462444485804,0.4770956303411552,0.937312283485286
BayesianRidge,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",30,0.8077005864417763,0.7341602074117819,0.209928639421289,0.8225519457052336,0.7795092820247049,0.143913906055991,89.84407674389848,108.82975370066002,53.74179656669539,45.72667266084634,47.35335831212684,14.563269976429602,0.47648734056186776,0.9372079049601103
LinearRegression,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",30,0.8071481558753373,0.7322361280487151,0.21287237371651876,0.8225215235816585,0.7792004988566771,0.14466396412133498,89.70517535063954,108.88730898515692,53.797913297579896,45.923181197819716,47.39834275738983,14.62380822775739,0.4739964533172214,0.9376864717086364
ExtraTrees,All_features,"pH, Fe, Mn, Al, SO4",30,0.7822940012293376,0.7087479568278583,0.21879316082222838,0.8194968137579317,0.7739634376426561,0.168079549625176,94.36554834546217,109.24499950030503,50.023837886171336,37.71553199999988,40.707567818181786,15.02706500899039,0.39122399541118547,0.9424023617969317
ElasticNet,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",30,0.8114084338274055,0.7541178965819627,0.17646866563580874,0.8188405850171458,0.7862135519227988,0.1356883267021155,82.1506738954765,107.2718546020873,51.930455577106585,44.848966539327456,46.366959644448336,13.023635668087959,0.5032670946984757,0.9408995641926374
Ridge,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",30,0.811489918076111,0.7543467008175491,0.1761583464455301,0.8188113662168948,0.7861625805293415,0.135741781345955,82.13849704354867,107.27915375984307,51.92286446907946,44.85502787309106,46.37531327312213,13.025661280899033,0.5029513759032116,0.9409337208120748
BayesianRidge,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",30,0.8114651216280375,0.7541636099985961,0.17637839482523898,0.8188093074176497,0.7861594441432254,0.13589241256678075,82.16752193104021,107.27165925622651,51.92577700606398,44.84503687931168,46.38202481415787,13.039494309623338,0.502222215813548,0.9408352184692659
