Stratify_Col,Seed,Model,Outlier_Mode,Test_R2,Test_RMSE,Test_MAE,CV_R2_Mean
pH,0,RandomForest,none,0.14319279830589826,200.29677560259185,65.31837963636363,0.7582597378348143
pH,0,ExtraTrees,none,0.4986242373830686,153.2195109171566,57.565031636363614,0.8331891363254096
pH,0,KNN,none,0.5243855369668594,149.23130274722106,63.62808084983346,0.8463886290612553
pH,0,Ridge,none,0.4762599184882521,156.5994778544178,71.72787136375173,0.8558389458580955
pH,0,MLP,none,-0.121370722325856,229.14321935248756,104.80232585729806,0.8570439521858052
pH,0,RandomForest,winsorize_1_99,0.06709022797178699,209.00285807813995,66.56224836363634,0.7600213740836306
pH,0,ExtraTrees,winsorize_1_99,0.3162792320398543,178.9253147305772,62.2427203636363,0.8184214986193842
pH,0,KNN,winsorize_1_99,0.5323550247685402,147.9757466775041,64.80741337858952,0.8450650696878343
pH,0,Ridge,winsorize_1_99,0.5256179624217465,149.0378311778611,66.87589284600963,0.8487250825421381
pH,0,MLP,winsorize_1_99,0.4347182935899858,162.6915023050961,85.22999681475648,0.8611476967452466
pH,1,RandomForest,none,0.764949597772744,138.20888821247723,45.0497545454546,0.7900176773387063
pH,1,ExtraTrees,none,0.7733901271902377,135.70469946520564,40.07514872727272,0.8060643344692153
pH,1,KNN,none,0.7097266569406576,153.58862464941217,46.33481237845723,0.8185897332174934
pH,1,Ridge,none,0.7060834667201918,154.5494565678538,49.00251864357824,0.8109458809327034
pH,1,MLP,none,0.6994804001264192,156.27585189597312,47.69063583347467,0.7035311262900891
pH,1,RandomForest,winsorize_1_99,0.7765577723905921,134.7528937667583,45.4300552727273,0.7941154700642903
pH,1,ExtraTrees,winsorize_1_99,0.7738064411822099,135.5799879158406,40.62268872727268,0.8062548074223976
pH,1,KNN,winsorize_1_99,0.6741595983474459,162.7263713843395,51.01719174323946,0.8043806571402727
pH,1,Ridge,winsorize_1_99,0.7258756280581553,149.25514093979632,55.135262305331445,0.8006969167668754
pH,1,MLP,winsorize_1_99,0.729268282790277,148.3286496500535,48.284730213709466,0.6789876674997897
pH,2,RandomForest,none,0.9051650900241583,35.03830919217581,19.45241890909099,0.6244773932968881
pH,2,ExtraTrees,none,0.9126763452947206,33.62211075259838,17.842683636363674,0.7315379355324512
pH,2,KNN,none,0.8664764167399175,41.575550832114736,21.265436367915427,0.7597911718554688
pH,2,Ridge,none,0.7884317183858529,52.33404480674342,31.269324581750304,0.7782379836762878
pH,2,MLP,none,0.6573412914094046,66.60240464889196,38.170285317094724,0.7495587713576886
pH,2,RandomForest,winsorize_1_99,0.9022630042791459,35.57038085604874,19.697179636363714,0.6019903516475545
pH,2,ExtraTrees,winsorize_1_99,0.9115601352568533,33.83631484695506,18.02221127272736,0.697883890855004
pH,2,KNN,winsorize_1_99,0.8900195869049894,37.73259688604284,21.176866808784546,0.7433114015038603
pH,2,Ridge,winsorize_1_99,0.7132789619399242,60.92405516936724,34.39027007760751,0.7188461211000796
pH,2,MLP,winsorize_1_99,0.7531956211823789,56.52433386432473,30.811048648932662,0.6836421548736886
pH,3,RandomForest,none,0.7524708640651543,89.77337792536194,35.24842145454544,0.4928826720929068
pH,3,ExtraTrees,none,0.8038296949911157,79.91918337375202,33.869217090908975,0.6892068415658622
pH,3,KNN,none,0.8829538798485208,61.7323649545472,29.661603828306088,0.7054066697484912
pH,3,Ridge,none,0.7980322576705645,81.09151407481457,38.51818809437428,0.6728044289426686
pH,3,MLP,none,0.704029590767882,98.16542482171738,50.10169066244108,0.758065477564633
pH,3,RandomForest,winsorize_1_99,0.7613705843536621,88.1447383140098,34.77941345454541,0.4586751063051124
pH,3,ExtraTrees,winsorize_1_99,0.7751123093829992,85.56915557106268,35.0237614545454,0.615163813166603
pH,3,KNN,winsorize_1_99,0.8726829565557288,64.38395873111885,29.619709447122577,0.7077210633353956
pH,3,Ridge,winsorize_1_99,0.8207962748033503,76.38497143360892,40.54287452074024,0.6140067515818063
pH,3,MLP,winsorize_1_99,0.6228359794215996,110.81525042456218,52.51063317866172,0.7431501247595159
pH,4,RandomForest,none,0.764602047575457,165.41724273804687,55.40374181818176,0.633444634642951
pH,4,ExtraTrees,none,0.7507232549260439,170.22381505021247,60.659104727272684,0.6359674372010963
pH,4,KNN,none,0.724064342018825,179.09495414279345,55.89497769731655,0.6094831876489261
pH,4,Ridge,none,0.787732893707445,157.07996173409987,51.88790685746943,0.6616362608143078
pH,4,MLP,none,0.32778989657519353,279.53227232022033,100.98944922364858,0.5021201996248836
pH,4,RandomForest,winsorize_1_99,0.8185908278905223,145.21419034597739,51.43208218181814,0.49136221040124967
